matrix_size,peak_performance,achieved_performance
1,33.600000,0.041943
6,33.600000,3.019899
11,33.600000,5.316780
16,33.600000,6.304539
21,33.600000,6.500996
26,33.600000,7.020865
31,33.600000,7.264681
36,33.600000,7.201084
41,33.600000,7.513337
46,33.600000,5.190805
51,33.600000,5.625669
56,33.600000,5.753461
61,33.600000,5.404640
66,33.600000,5.712878
71,33.600000,5.925350
76,33.600000,6.161462
81,33.600000,6.364552
86,33.600000,6.294608
91,33.600000,6.680488
96,33.600000,6.645806
101,33.600000,6.562484
106,33.600000,6.634108
111,33.600000,6.866483
116,33.600000,6.793123
121,33.600000,7.041760
126,33.600000,7.031814
131,33.600000,7.086277
136,33.600000,6.688275
141,33.600000,7.275493
146,33.600000,7.194843
151,33.600000,7.300146
156,33.600000,7.332193
161,33.600000,7.421120
166,33.600000,7.281279
171,33.600000,7.490947
176,33.600000,7.360530
181,33.600000,7.577696
186,33.600000,7.512802
191,33.600000,7.579341
196,33.600000,7.539115
200,33.600000,7.193768
220,33.600000,7.377920
240,33.600000,7.308486
260,33.600000,7.654633
280,33.600000,7.848488
300,33.600000,7.907330
320,33.600000,7.833891
340,33.600000,7.970484
360,33.600000,7.908737
380,33.600000,7.969178
400,33.600000,8.004677
420,33.600000,7.941877
440,33.600000,7.813091
460,33.600000,7.927678
480,33.600000,7.824011
500,33.600000,7.890764
600,33.600000,7.934074
700,33.600000,7.941663
800,33.600000,7.895359
900,33.600000,7.961934
1000,33.600000,7.796201
1100,33.600000,7.876879
1200,33.600000,7.357648
1300,33.600000,6.981625
1400,33.600000,6.453133
1500,33.600000,5.808834
1600,33.600000,5.173262
1700,33.600000,4.822822
1800,33.600000,4.401240
1900,33.600000,4.218742
2000,33.600000,4.297085
