matrix_size,peak_performance,achieved_performance
1,12.000000,0.041943
21,12.000000,6.874947
41,12.000000,8.616263
61,12.000000,6.257163
81,12.000000,6.427871
101,12.000000,7.434979
121,12.000000,7.652582
141,12.000000,8.352914
161,12.000000,7.179218
181,12.000000,7.794090
201,12.000000,8.240055
221,12.000000,8.840518
241,12.000000,8.829314
261,12.000000,8.731329
281,12.000000,8.881238
301,12.000000,8.742931
321,12.000000,8.782377
341,12.000000,8.916972
361,12.000000,8.389514
381,12.000000,8.782578
401,12.000000,8.534794
421,12.000000,8.166089
441,12.000000,8.318650
461,12.000000,8.036814
481,12.000000,7.948393
600,12.000000,8.084134
700,12.000000,8.176707
800,12.000000,8.159853
900,12.000000,8.048685
1000,12.000000,7.983337
1100,12.000000,7.870121
1200,12.000000,7.549259
1300,12.000000,7.094248
1400,12.000000,6.653263
1500,12.000000,5.890521
1600,12.000000,5.425542
1700,12.000000,4.841622
1800,12.000000,4.550444
1900,12.000000,4.351144
2000,12.000000,4.364293
