matrix_size,peak_performance,achieved_performance
100,166.400000,7.906694
200,166.400000,7.456623
300,166.400000,7.837216
500,166.400000,8.268399
600,166.400000,8.394268
700,166.400000,8.468994
800,166.400000,8.521886
900,166.400000,8.590726
1000,166.400000,7.118583
1100,166.400000,6.688862
1200,166.400000,8.000039
1300,166.400000,6.392180
1400,166.400000,5.375252
1500,166.400000,4.742688
1600,166.400000,4.270166
1700,166.400000,3.496904
1800,166.400000,3.766452
1900,166.400000,3.773300
2000,166.400000,3.564961
