matrix_size,peak_performance,achieved_performance
1,33.600000,0.033554
6,33.600000,1.725657
11,33.600000,4.466095
16,33.600000,4.979672
21,33.600000,5.284823
26,33.600000,6.221020
31,33.600000,5.300213
36,33.600000,7.039189
41,33.600000,5.978813
46,33.600000,6.371545
51,33.600000,6.112372
56,33.600000,6.462706
61,33.600000,6.676208
66,33.600000,7.182997
71,33.600000,7.578884
76,33.600000,6.183188
81,33.600000,7.541318
86,33.600000,7.654030
91,33.600000,7.817241
96,33.600000,8.163792
101,33.600000,8.016316
106,33.600000,8.343535
111,33.600000,8.217549
116,33.600000,6.894710
121,33.600000,8.396955
126,33.600000,8.229706
131,33.600000,8.303073
136,33.600000,8.322457
141,33.600000,8.322611
146,33.600000,8.488535
151,33.600000,8.420036
156,33.600000,8.533628
161,33.600000,8.474979
166,33.600000,8.252393
171,33.600000,8.355290
176,33.600000,8.559869
181,33.600000,8.418195
186,33.600000,7.484572
191,33.600000,7.639820
196,33.600000,7.695543
200,33.600000,7.662622
220,33.600000,7.705179
240,33.600000,7.774244
260,33.600000,7.860539
280,33.600000,7.870292
300,33.600000,7.861358
320,33.600000,8.094358
340,33.600000,8.056166
360,33.600000,8.116341
380,33.600000,8.076985
400,33.600000,8.217058
420,33.600000,8.211972
440,33.600000,8.284973
460,33.600000,8.289999
480,33.600000,8.320191
500,33.600000,8.370457
600,33.600000,8.412853
700,33.600000,8.499460
800,33.600000,8.523670
900,33.600000,8.423267
1000,33.600000,8.401494
1100,33.600000,8.226781
1200,33.600000,7.761400
1300,33.600000,6.298944
1400,33.600000,5.303151
1500,33.600000,4.436857
1600,33.600000,4.011031
1700,33.600000,3.754126
1800,33.600000,3.600118
1900,33.600000,3.532700
2000,33.600000,3.512586
