matrix_size,peak_performance,achieved_performance
100,12.000000,3.571790
200,12.000000,3.152535
300,12.000000,3.363271
400,12.000000,3.889649
500,12.000000,0.457121
600,12.000000,0.018042
700,12.000000,0.159843
800,12.000000,0.408562
900,12.000000,0.349442
1000,12.000000,0.090963
1100,12.000000,0.053859
1200,12.000000,0.013181
1300,12.000000,0.051326
1400,12.000000,0.046835
1500,12.000000,0.029936
1600,12.000000,0.005710
1700,12.000000,0.025434
1800,12.000000,0.009084
1900,12.000000,0.023421
2000,12.000000,0.009025
